date_of_submission,manufacturer,submission_id,submission_title,country,region,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,other_target_pathogen,permalink,planned_market_entry,primary_use_case,ID_type,disease_target,assay_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,other_readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,other_antimicrobial_resistance_class,Drug_resistance_target,Other Drug resistance target,AST_output,test_format,other_test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,other_validated_sample_type,time_to_results_excl_prep,test_to_be_listed_on_finds_web_page
25.05.2023,TECHLAB,a2r69000007laOf,C. DIFF QUIK CHEK COMPLETE,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; Health Canada; US FDA 510k,Immunoassay,ID,Enteric,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Feces,NA,30,Yes
25.05.2023,Quidel,a2r69000007laPG,Sofia Legionella Fluorescent Immunoassay (FIA),United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://quidel.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is required,Manual,near Point of Care,Intended for professional use only,Urine,NA,10,Yes
25.05.2023,Mast Group Ltd.,a2r69000007laOe,MAST CARBA PAcE,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Chemical/Biochemical,AMR,Enteric,Pseudomonas spp; Acinetobacter spp,https://mast-group.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Antigen,Bacteria (Gram-),Enterobacterales; Other,Unknown,Enzymatic assays,Colorimetric,NA,Qualitative,CPO,Unknown,NA,Not applicable,NA,Not applicable,IA Reagent Kit,NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,10,Yes
25.05.2023,Abbott Laboratories,a2r69000007laPF,BIOLINE Strep A,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Upper Respiratory Tract Infections,NA,https://abbott.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Streptococcus pyogenes (Group A),Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Oropharyngeal swab,NA,10,Yes
25.05.2023,TECHLAB,a2r69000007laOh,TOX A/B QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Enteric,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Feces,NA,30,Yes
25.05.2023,Abbott Laboratories,a2r69000007laPI,BinaxNOW Legionella Urinary Antigen Card,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://abbott.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is optional,Manual,True Point of Care,Intended for professional use only,Urine,NA,15,Yes
25.05.2023,TECHLAB,a2r69000007laOg,C. DIFF QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Enteric,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Feces,NA,30,Yes
25.05.2023,Abbott Laboratories,a2r69000007laPH,BIOLINE Legionella Ag,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://abbott.com,Already on the market (commercialized),"Monitoring (treatment, immune status, patient); Diagnostic/confirmatory test",Presumptive identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,15,Yes
25.05.2023,TECHLAB,a2r69000007laOj,SHIGA TOXIN QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; Health Canada; US FDA 510k,Immunoassay,ID,Enteric,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Gastroenteritis,Antigen,Bacteria (Gram-),Escherichia coli,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Colony/plate; Feces; Stool (Feces) Culture,NA,30,Yes
25.05.2023,"Assure Tech. (Hangzhou) Co., ltd.",a2r69000007laPK,Assure Tech Legionella Urinary Antigen test,China,Western Pacific Region,Regulatory Status Unknown,Unknown,Immunoassay,ID,Lower Respiratory Tract Infections; Upper Respiratory Tract Infections,NA,https://diareagent.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,NA,Yes
