submission_id,performance_detail_submission_id,date_of_submission,manufacturer,submission_title,target_pathogen,stage_of_development,country,region,permalink,regulatory_status,sensitivity,specificity,type_of_technology,assay_target,target_analyte,technology_principle,test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,connectivity_solution,find_evaluation,s_gene_dropout,scov2_variants,city,test_to_be_listed_on_finds_web_page,data_to_be_published_on_finds_web_page,study_type,number_of_positive_samples,number_of_negative_samples,total_number_of_samples,sc2_impact_alpha,sc2_impact_beta,sc2_impact_delta,sc2_impact_delta_plus,sc2_impact_gamma,sc2_impact_omicron,sc2_impact_omicron_ba4,sc2_impact_omicron_ba5,country_tmp,city2,lat,lng,disease_target
a2r69000006SkZl,a266900000Bsdt0,09.10.2023,Abionic,IVD CAPSULE COVID-19-NP/abioSCOPE,SARS-CoV-2,Regulatory Achieved,Switzerland,European Region,https://abionic.com,CE-IVDD,NA,NA,Immunoassay,Antigen,N-protein,Other,Rapid diagnostic test (strip or cassette),A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Nasal swab; Nasopharyngeal swab; Saliva,NA,No,Not applicable,Unknown,Epalinges,Yes,Yes,Company-Sponsored,0,0,0,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Unknown,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),Switzerland,"Epalinges, Switzerland",46.55527496,6.6701479,Covid-19
a2r69000006SkZl,a266900000Bsdt1,09.10.2023,Abionic,IVD CAPSULE COVID-19-NP/abioSCOPE,SARS-CoV-2,Regulatory Achieved,Switzerland,European Region,https://abionic.com,CE-IVDD,83.3,99.3,Immunoassay,Antigen,N-protein,Other,Rapid diagnostic test (strip or cassette),A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Nasal swab; Nasopharyngeal swab; Saliva,NA,No,Not applicable,Unknown,Epalinges,Yes,Yes,Company-Sponsored,108,301,0,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Unknown,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),Switzerland,"Epalinges, Switzerland",46.55527496,6.6701479,Covid-19
a2r69000006SkZl,a266900000Bsdt2,09.10.2023,Abionic,IVD CAPSULE COVID-19-NP/abioSCOPE,SARS-CoV-2,Regulatory Achieved,Switzerland,European Region,https://abionic.com,CE-IVDD,70.5,100,Immunoassay,Antigen,N-protein,Other,Rapid diagnostic test (strip or cassette),A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Nasal swab; Nasopharyngeal swab; Saliva,NA,No,Not applicable,Unknown,Epalinges,Yes,Yes,Company-Sponsored,105,326,0,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Unknown,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),Switzerland,"Epalinges, Switzerland",46.55527496,6.6701479,Covid-19
a2r69000006SkZm,a266900000Bsdsx,09.10.2023,BioSquare Inc.,"54ED20a, 54ED20b",SARS-CoV-2,Regulatory Achieved,"Korea, Republic of",Western Pacific Region,https://bio-square.com,Korea MFDS,NA,NA,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Unknown,NA,No,Not applicable,Unknown,Seongnam-si,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,South Korea,"Seongnam-si, Korea, Republic of",37.44055557,127.13583374,Covid-19
a2r69000006SkZn,a266900000Bsdsy,09.10.2023,CALTH,AllCheck COVID-19 Ag Plus,SARS-CoV-2,Regulatory Achieved,"Korea, Republic of",Western Pacific Region,https://thecalth.com/eng,Korea MFDS,NA,NA,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Unknown,NA,No,Not applicable,Unknown,NA,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,South Korea,"Korea, Republic of",36.43822861,127.83287048,Covid-19
a2r69000006SkZo,a266900000Bsdst,09.10.2023,CALTH,AllCheck Flu/COVID-19 Ag Duo Plus,Influenza A; Influenza B; SARS-CoV-2,Regulatory Achieved,"Korea, Republic of",Western Pacific Region,https://thecalth.com/eng,Korea MFDS,NA,NA,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Unknown,NA,No,Not applicable,Unknown,NA,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,South Korea,"Korea, Republic of",36.43822861,127.83287048,Covid-19
a2r69000006SkZp,a266900000Bsdsu,09.10.2023,"EMPECS Medical Device Co., Ltd.",Medisign COVID-19/Flu A&B Ag Rapid Test,Influenza A; Influenza B; SARS-CoV-2,Regulatory Achieved,"Korea, Republic of",Western Pacific Region,https://empecs.com/,Korea MFDS,93.1,100,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,NA,No,Not applicable,Unknown,Seongnam-si,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,South Korea,"Seongnam-si, Korea, Republic of",37.44055557,127.13583374,Covid-19
a2r69000006SkZq,a266900000Bsdt8,09.10.2023,Genabio Diagnostics Inc.,Genabio COVID-19 Rapid Self-Test Kit,Influenza A; Influenza B; SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://www.genabio.com/,US FDA EUA,91.89,100,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,NA,Yes,Yes,Company-Sponsored,37,35,72,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,China,China,36.55937195,103.7533493,Covid-19
a2r69000006SkZr,a266900000BsdsW,09.10.2023,"Hangzhou AllTest Biotech Co., Ltd.",Allchek COVID-19 Antigen Home Test,SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://alltests.com.cn,Health Canada,91.4,99.3,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,Hangzhou,Yes,Yes,Company-Sponsored,70,270,340,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,China,"Hangzhou, China",30.24592018,120.21079254,Covid-19
a2r69000006SkZs,a266900000BsdsQ,09.10.2023,"Hangzhou Fanttest Biotech Co.,Ltd.",Cellife Diagfest Covid -19/Influenza A & B Antigen Test Kit,Influenza A; Influenza B; SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://fanttest.com,Australia TGA,92.5,98.33,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,NA,Yes,Yes,Company-Sponsored,160,300,460,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,China,China,36.55937195,103.7533493,Covid-19
